10,1,1,tD,0.07975286913104356
10,1,1,tE,0.26920733831822874
10,1,1,tI,0.027746925305639405
10,1,1,tO,0.07458719037240372
10,1,2,tD,0.09544330312404782
10,1,2,tE,0.29673000786453485
10,1,2,tI,0.009747533121978753
10,1,2,tO,0.04551703293349904
10,1,3,tD,0.0988802508590743
10,1,3,tE,0.2809257391095161
10,1,3,tI,0.002803881148525761
10,1,3,tO,0.04256395222657981
10,1,4,tD,0.09877779955044388
10,1,4,tE,0.27578112117946146
10,1,4,tI,0.002737591119668044
10,1,4,tO,0.04225807095505297
10,1,5,tD,0.09843583198729902
10,1,5,tE,0.27182735688984394
10,1,5,tI,0.0026242223689993504
10,1,5,tO,0.04169385168429775
10,1,6,tD,0.0987395813758485
10,1,6,tE,0.26983633611351254
10,1,6,tI,0.005259430490075829
10,1,6,tO,0.0408304926524094
10,1,7,tD,0.09926341246115043
10,1,7,tE,0.27563510689884424
10,1,7,tI,0.011088349071313739
10,1,7,tO,0.03852775230367358
10,1,8,tD,0.10041919255047105
10,1,8,tE,0.2712920129299164
10,1,8,tI,0.004236887963628154
10,1,8,tO,0.037815236013537895
10,1,9,tD,0.10067831750377082
10,1,9,tE,0.2653975459560752
10,1,9,tI,0.004783700167131731
10,1,9,tO,0.036819025183290555
10,1,10,tD,0.10005216067482252
10,1,10,tE,0.26729787345975636
10,1,10,tI,0.006930030570268476
10,1,10,tO,0.035791439679218454
10,1,11,tD,0.09892862177686766
10,1,11,tE,0.2668277744576335
10,1,11,tI,0.004955464344210971
10,1,11,tO,0.033976734925294294
10,1,12,tD,0.09928990491142031
10,1,12,tE,0.2628054213523865
10,1,12,tI,0.0052765474930856725
10,1,12,tO,0.032550252808645985
10,1,13,tD,0.09934864347800612
10,1,13,tE,0.2620121989771724
10,1,13,tI,0.0068862930867035176
10,1,13,tO,0.030869415724960467
10,1,14,tD,0.09984259901568293
10,1,14,tE,0.26083786580711604
10,1,14,tI,0.006419079157805148
10,1,14,tO,0.028893661096692086
10,1,15,tD,0.09996484761242755
10,1,15,tE,0.2584989846684039
10,1,15,tI,0.006939425627414797
10,1,15,tO,0.02787588264804799
10,1,-1,s,0.0
10,1,-1,x,0.6875
10,1,-1,c,0.5707947742073934
10,2,1,tD,0.07346209236420691
10,2,1,tE,0.18324563019908965
10,2,1,tI,0.019167106795149567
10,2,1,tO,0.06808614367836466
10,2,2,tD,0.04989335572347045
10,2,2,tE,0.13585000441176817
10,2,2,tI,0.002797532211817573
10,2,2,tO,0.041959086868911984
10,2,3,tD,0.048723669822793456
10,2,3,tE,0.12422316347714514
10,2,3,tI,0.0030958321596699532
10,2,3,tO,0.04058385123335757
10,2,4,tD,0.048032930872868744
10,2,4,tE,0.11716995066963136
10,2,4,tI,0.0048965348458723384
10,2,4,tO,0.04038052770122886
10,2,5,tD,0.047270644647069274
10,2,5,tE,0.10951997644267976
10,2,5,tI,0.007074325446634854
10,2,5,tO,0.038585458409351604
10,2,6,tD,0.04597532256972045
10,2,6,tE,0.09934512757929043
10,2,6,tI,0.00806808278492584
10,2,6,tO,0.03648755765139746
10,2,7,tD,0.04395029373466969
10,2,7,tE,0.08925479419413022
10,2,7,tI,0.00806268264191264
10,2,7,tO,0.03309152654713641
10,2,8,tD,0.04233706276747398
10,2,8,tE,0.08114139342913404
10,2,8,tI,0.011225592210520214
10,2,8,tO,0.031685199317871594
10,2,9,tD,0.04268932539736852
10,2,9,tE,0.0786294493614696
10,2,9,tI,0.010759129492696957
10,2,9,tO,0.028902739876357372
10,2,10,tD,0.04160349654732272
10,2,10,tE,0.07001171014737338
10,2,10,tI,0.007521910319565601
10,2,10,tO,0.025549972532123016
10,2,11,tD,0.04113429524120875
10,2,11,tE,0.06569622005335987
10,2,11,tI,0.007176021156168038
10,2,11,tO,0.023953936933578612
10,2,12,tD,0.04023540441528894
10,2,12,tE,0.06322103697340936
10,2,12,tI,0.00806353350249022
10,2,12,tO,0.022472726007768264
10,2,13,tD,0.04064110061968677
10,2,13,tE,0.06223284728592262
10,2,13,tI,0.01010296176104263
10,2,13,tO,0.021489943872807393
10,2,14,tD,0.040904394461540504
10,2,14,tE,0.06205310747260228
10,2,14,tI,0.013336645560426404
10,2,14,tO,0.020002608454107153
10,2,15,tD,0.04094911716878414
10,2,15,tE,0.06807826748117804
10,2,15,tI,0.009624890987188944
10,2,15,tO,0.01848703858762747
10,2,-1,s,0.3125
10,2,-1,x,0.734375
10,2,-1,c,0.6474385645275015
10,3,1,tD,0.07292968852911144
10,3,1,tE,0.20475064508616925
10,3,1,tI,0.011389771408420832
10,3,1,tO,0.07107739656387518
10,3,2,tD,0.06125858103390783
10,3,2,tE,0.17562898059375584
10,3,2,tI,0.005202437312714513
10,3,2,tO,0.054428545638763655
10,3,3,tD,0.05525643842527643
10,3,3,tE,0.15330612972611563
10,3,3,tI,0.006909478791290894
10,3,3,tO,0.043456973425267886
10,3,4,tD,0.050893339650938285
10,3,4,tE,0.1340326064056717
10,3,4,tI,0.013017984948097971
10,3,4,tO,0.040163612638833
10,3,5,tD,0.047748829112388196
10,3,5,tE,0.12192798581905663
10,3,5,tI,0.006768205195580473
10,3,5,tO,0.037923014855788396
10,3,6,tD,0.04511045925784856
10,3,6,tE,0.1129425816400908
10,3,6,tI,0.008621261439067893
10,3,6,tO,0.03671439863469762
10,3,7,tD,0.043129715560935436
10,3,7,tE,0.09596246317028999
10,3,7,tI,0.00856628241664051
10,3,7,tO,0.03363105216800856
10,3,8,tD,0.0406240577949211
10,3,8,tE,0.08215488266898319
10,3,8,tI,0.007799882805734039
10,3,8,tO,0.030400785948033443
10,3,9,tD,0.03935991337406449
10,3,9,tE,0.07702736019156874
10,3,9,tI,0.011948477967676202
10,3,9,tO,0.028169174474237176
10,3,10,tD,0.038597626471892
10,3,10,tE,0.07472141448641195
10,3,10,tI,0.011744005759916035
10,3,10,tO,0.025413944760803133
10,3,11,tD,0.037804465187946334
10,3,11,tE,0.06832891874131747
10,3,11,tI,0.012943479945975316
10,3,11,tO,0.022520738490643757
10,3,12,tD,0.03673256261507049
10,3,12,tE,0.0687054471927695
10,3,12,tI,0.008887573662941578
10,3,12,tO,0.020123052384355106
10,3,13,tD,0.036973882188322024
10,3,13,tE,0.06532251132419332
10,3,13,tI,0.00680744884746673
10,3,13,tO,0.018510565321999215
10,3,14,tD,0.03679960619891062
10,3,14,tE,0.061947060958482326
10,3,14,tI,0.006613424697968488
10,3,14,tO,0.017812251827941508
10,3,15,tD,0.03725393027416431
10,3,15,tE,0.0601529159815982
10,3,15,tI,0.007013514921738533
10,3,15,tO,0.016908650462224614
10,3,-1,s,0.3515625
10,3,-1,x,0.875
