10,1,1,tD,0.08201466197613627
10,1,1,tE,0.26290690623223784
10,1,1,tI,0.05267716038614556
10,1,1,tO,0.07461615199983741
10,1,2,tD,0.09141676910687238
10,1,2,tE,0.2983374481089413
10,1,2,tI,0.023554405012030506
10,1,2,tO,0.056841153559740634
10,1,3,tD,0.09951893042773008
10,1,3,tE,0.2978418595530093
10,1,3,tI,0.02403208932970271
10,1,3,tO,0.0490934164612554
10,1,4,tD,0.10196793345268816
10,1,4,tE,0.3020004382589832
10,1,4,tI,0.019229285418534525
10,1,4,tO,0.04341315951415648
10,1,5,tD,0.10371166171506047
10,1,5,tE,0.2890293986070901
10,1,5,tI,0.012900569998527714
10,1,5,tO,0.04226318251512324
10,1,6,tD,0.1049275105819106
10,1,6,tE,0.2831561082135886
10,1,6,tI,0.003577296028669025
10,1,6,tO,0.04263960356311872
10,1,7,tD,0.10499861230142414
10,1,7,tE,0.27205692341551185
10,1,7,tI,0.0030278165509446354
10,1,7,tO,0.04194823148792299
10,1,8,tD,0.10428419157862663
10,1,8,tE,0.268673776332289
10,1,8,tI,0.0030331200165596025
10,1,8,tO,0.0418307023482242
10,1,9,tD,0.10425730071496218
10,1,9,tE,0.26727830318734047
10,1,9,tI,0.0035661286111829515
10,1,9,tO,0.04166871756540301
10,1,10,tD,0.10339810686651617
10,1,10,tE,0.2635788645222783
10,1,10,tI,0.004078650692655477
10,1,10,tO,0.04130667392513715
10,1,11,tD,0.10368872955441474
10,1,11,tE,0.26643893763422966
10,1,11,tI,0.0041747140197680895
10,1,11,tO,0.04132592650914254
10,1,12,tD,0.10351164309307932
10,1,12,tE,0.26581297639757395
10,1,12,tI,0.004806439003475589
10,1,12,tO,0.04017570252064615
10,1,13,tD,0.10557012476027011
10,1,13,tE,0.26895913844928143
10,1,13,tI,0.011713450683190785
10,1,13,tO,0.03828054191141079
10,1,14,tD,0.10692612614482641
10,1,14,tE,0.2703602474927902
10,1,14,tI,0.006655154909304353
10,1,14,tO,0.03721095765653687
10,1,15,tD,0.10637909633107484
10,1,15,tE,0.2668258123658597
10,1,15,tI,0.005561516847859214
10,1,15,tO,0.035455635134984426
10,1,-1,s,0.046875
10,1,-1,x,0.3203125
10,1,-1,c,0.06967211146000721
10,2,1,tD,0.07622104345820845
10,2,1,tE,0.20434239740716292
10,2,1,tI,0.01773474477703288
10,2,1,tO,0.07048925531795248
10,2,2,tD,0.060183245588559656
10,2,2,tE,0.15732707672519608
10,2,2,tI,0.008284104167313065
10,2,2,tO,0.04506163462360079
10,2,3,tD,0.05782534574624151
10,2,3,tE,0.14313061703927815
10,2,3,tI,0.005121767699883245
10,2,3,tO,0.04270455165719613
10,2,4,tD,0.05747029975056648
10,2,4,tE,0.1347421747993212
10,2,4,tI,0.01015950173620331
10,2,4,tO,0.04191327080355647
10,2,5,tD,0.057346375668421386
10,2,5,tE,0.12941446278011426
10,2,5,tI,0.01123235089004235
10,2,5,tO,0.03981225565254378
10,2,6,tD,0.05691063757520169
10,2,6,tE,0.11828462025499903
10,2,6,tI,0.010341108334001243
10,2,6,tO,0.03810204190923833
10,2,7,tD,0.056300635582301764
10,2,7,tE,0.10836924183939117
10,2,7,tI,0.01006978705837355
10,2,7,tO,0.03812940061845196
10,2,8,tD,0.05381957156350836
10,2,8,tE,0.10378181344844052
10,2,8,tI,0.009328103128015148
10,2,8,tO,0.03613690806312176
10,2,9,tD,0.05255356612149626
10,2,9,tE,0.08860413342918036
10,2,9,tI,0.010026525028063891
10,2,9,tO,0.03522899293193283
10,2,10,tD,0.05223974637221545
10,2,10,tE,0.08253602636279539
10,2,10,tI,0.009973493292710675
10,2,10,tO,0.03426183482639802
10,2,11,tD,0.05203760765725747
10,2,11,tE,0.08245160135556943
10,2,11,tI,0.013727740504594597
10,2,11,tO,0.03334905340631182
10,2,12,tD,0.052691161383409055
10,2,12,tE,0.08014646590803749
10,2,12,tI,0.015612722479627942
10,2,12,tO,0.03195966948017789
10,2,13,tD,0.05444692682242021
10,2,13,tE,0.07886456393869594
10,2,13,tI,0.01147678502604443
10,2,13,tO,0.030942381010002767
10,2,14,tD,0.053989625789690764
10,2,14,tE,0.07459844775148668
10,2,14,tI,0.009901876332691852
10,2,14,tO,0.030705548248176152
10,2,15,tD,0.0542966085660737
10,2,15,tE,0.07204847879824229
10,2,15,tI,0.009441677663762069
10,2,15,tO,0.02965746543350785
