10,1,1,tD,0.08907244612462818
10,1,1,tE,0.26866991005837915
10,1,1,tI,0.011327268681998248
10,1,1,tO,0.08531235222533966
10,1,2,tD,0.09777830794919282
10,1,2,tE,0.29414949895814063
10,1,2,tI,0.019455261078789286
10,1,2,tO,0.06575495989869039
10,1,3,tD,0.10507331736851483
10,1,3,tE,0.28178793013095854
10,1,3,tI,0.0030184736727169367
10,1,3,tO,0.05985929522003668
10,1,4,tD,0.10670212118886412
10,1,4,tE,0.27434552036225796
10,1,4,tI,0.003089238889831904
10,1,4,tO,0.057922602114500475
10,1,5,tD,0.1076303168013692
10,1,5,tE,0.2713530307263136
10,1,5,tI,0.0037960102404783055
10,1,5,tO,0.05679412233177573
10,1,6,tD,0.11010421607643366
10,1,6,tE,0.27304814733564853
10,1,6,tI,0.009919263707027615
10,1,6,tO,0.052826190529468776
10,1,7,tD,0.1124945660866797
10,1,7,tE,0.27408658538013697
10,1,7,tI,0.01016347367229173
10,1,7,tO,0.04802997149845275
10,1,8,tD,0.11359532826347277
10,1,8,tE,0.2692412951588631
10,1,8,tI,0.006164446825375004
10,1,8,tO,0.04536561377245622
10,1,9,tD,0.11509462141431868
10,1,9,tE,0.2645891396701336
10,1,9,tI,0.006738482889331257
10,1,9,tO,0.043458663534295436
10,1,10,tD,0.11566585729364305
10,1,10,tE,0.2646777892485261
10,1,10,tI,0.009708416493410671
10,1,10,tO,0.04149220609401042
10,1,11,tD,0.11580975850811229
10,1,11,tE,0.26460705392062667
10,1,11,tI,0.007845148385007633
10,1,11,tO,0.039273536812863316
10,1,12,tD,0.11528436639811844
10,1,12,tE,0.26159699115902185
10,1,12,tI,0.006999242617569204
10,1,12,tO,0.037068113793968224
10,1,13,tD,0.11501901214476674
10,1,13,tE,0.2592984149605036
10,1,13,tI,0.00889413021990913
10,1,13,tO,0.03534791567277474
10,1,14,tD,0.11466488316655159
10,1,14,tE,0.25713025897741315
10,1,14,tI,0.010556867954903282
10,1,14,tO,0.03413878510737171
10,1,15,tD,0.11464341945480555
10,1,15,tE,0.2552978166937828
10,1,15,tI,0.008864668230273915
10,1,15,tO,0.032270400590108085
10,1,-1,s,0.0
10,1,-1,x,0.5859375
10,1,-1,c,0.11812732884644163
10,2,1,tD,0.08547705797944218
10,2,1,tE,0.2097867753636092
10,2,1,tI,0.015635813300444473
10,2,1,tO,0.08219785386696458
10,2,2,tD,0.07061337507795543
10,2,2,tE,0.17126143930479884
10,2,2,tI,0.0033048262442777437
10,2,2,tO,0.05947810173329587
10,2,3,tD,0.06641838350333273
10,2,3,tE,0.15390669803135096
10,2,3,tI,0.00693574195234396
10,2,3,tO,0.05670933905507748
10,2,4,tD,0.06249218994518742
10,2,4,tE,0.13806803051847966
10,2,4,tI,0.004984472137206467
10,2,4,tO,0.05085417722677812
10,2,5,tD,0.05965983225032687
10,2,5,tE,0.1250293325120583
10,2,5,tI,0.008057556931555155
10,2,5,tO,0.04682085099909455
10,2,6,tD,0.057660731808282434
10,2,6,tE,0.11391451030503959
10,2,6,tI,0.006768346033316145
10,2,6,tO,0.04331203745538369
10,2,7,tD,0.05691398878348991
10,2,7,tE,0.10427615805063396
10,2,7,tI,0.00925232739696124
10,2,7,tO,0.04113189008734965
